qtyCode;qtyAbbr;qtyDescription;updateMark;updateMark_TZ
-1;N/A;Not available or not specified or no quantity.;2023-06-27 13:59:10;Eastern Standard Time
2;m²;Area in square meters;2023-06-27 13:59:10;Eastern Standard Time
3;1000 kWh;Electrical energy in thousands of kilowatt-hours;2023-06-27 13:59:10;Eastern Standard Time
4;m;Length in meters;2023-06-27 13:59:10;Eastern Standard Time
5;u;Number of items;2023-06-27 13:59:10;Eastern Standard Time
6;2u;Number of pairs;2023-06-27 13:59:10;Eastern Standard Time
7;l;Volume in liters;2023-06-27 13:59:10;Eastern Standard Time
8;kg;Weight in kilograms;2023-06-27 13:59:10;Eastern Standard Time
9;1000u;Thousand of items;2023-06-27 13:59:10;Eastern Standard Time
10;U (jeu/pack);Number of packages;2023-06-27 13:59:10;Eastern Standard Time
11;12u;Dozen of items;2023-06-27 13:59:10;Eastern Standard Time
12;m³;Volume in cubic meters;2023-06-27 13:59:10;Eastern Standard Time
13;carat;Weight in carats;2023-06-27 13:59:10;Eastern Standard Time
14;km;Length in Kilometers;2023-06-27 13:59:10;Eastern Standard Time
15;g;Weight in grams;2023-06-27 13:59:10;Eastern Standard Time
16;hive;Beehive;2023-06-27 13:59:10;Eastern Standard Time
17;1000 m³;Volume in thousand cubic meters;2023-06-27 13:59:10;Eastern Standard Time
18;TJ;Terajoule (gross calorific value);2023-06-27 13:59:10;Eastern Standard Time
19;BBL;Barrels;2023-06-27 13:59:10;Eastern Standard Time
20;1000 L;Volume in thousands of liters;2023-06-27 13:59:10;Eastern Standard Time
21;1000 KG;Weight in thousand of kilograms;2023-06-27 13:59:10;Eastern Standard Time
22;kWH;Electrical energy in kilowatt-hours;2023-06-27 13:59:10;Eastern Standard Time
23;l alc 100%;Litre pure (100 %) alcohol - l alc. 100%;2023-06-27 13:59:10;Eastern Standard Time
24;head;Head;2023-06-27 13:59:10;Eastern Standard Time
25;kg/net eda;Kilogram drained net weight;2023-06-27 13:59:10;Eastern Standard Time
26;kg C5H14ClNO;Kilogram of choline chloride;2023-06-27 13:59:10;Eastern Standard Time
27;kg P2O5;Kilogram of diphosphorus pentaoxide;2023-06-27 13:59:10;Eastern Standard Time
28;kg H2O2;Kilogram of hydrogen peroxide;2023-06-27 13:59:10;Eastern Standard Time
29;kg met.am.;Kilogram of methylamines;2023-06-27 13:59:10;Eastern Standard Time
30;kg N;Kilogram of nitrogen;2023-06-27 13:59:10;Eastern Standard Time
31;kg KOH;Kilogram of potassium hydroxide (caustic potash);2023-06-27 13:59:10;Eastern Standard Time
32;kg K2O;Kilogram of potassium oxide;2023-06-27 13:59:10;Eastern Standard Time
33;kg NaOH;Kilogram of sodium hydroxide (caustic soda);2023-06-27 13:59:10;Eastern Standard Time
34;kg 90% sdt;Kilogram of substance 90 % dry;2023-06-27 13:59:10;Eastern Standard Time
35;kg U;Kilogram of uranium;2023-06-27 13:59:10;Eastern Standard Time
36;ct/l;Carrying capacity in tonnes;2023-06-27 13:59:10;Eastern Standard Time
37;Bq;Becquerels;2023-06-27 13:59:10;Eastern Standard Time
38;gi F/S;Gram of fissile isotopes;2023-06-27 13:59:10;Eastern Standard Time
39;GRT;Gross register ton;2023-06-27 13:59:10;Eastern Standard Time
40;GT;Gross tonnage;2023-06-27 13:59:10;Eastern Standard Time
41;ce/el;Number of cells/elements;2023-06-27 13:59:10;Eastern Standard Time
